"μΰγΰηθν 007 & ΟΠΘΑΫΛά";"υλεα_χ";"υλεα_χ_ν";"υλεα_α";"υλεα_α_ν";"ΘΞΓ";"ΡΠΕΔΝΕΕ";"ΜΕΔΘΐΝΐ"
"δενό 1";1479;3265;3493;3367;11604;2901;3316
"δενό 2";5024;6706;5263;-3027;13966;3492;5144
"δενό 3";5929;3931;2081;709;12650;3162;3006
"δενό 4";1267;3524;6743;2118;13652;3413;2821
"δενό 5";1095;6225;2229;1970;11519;2880;2100
"δενό 6";2538;2266;3635;-672;7767;1942;2402
"δενό 7";5522;4116;1869;2303;13810;3452;3210
"δενό 8";1411;4893;2040;2511;10855;2714;2276
"δενό 9";1346;5411;2377;2915;12049;3012;2646
"δενό 10";-149;3080;2806;1933;7670;1918;2370
"δενό 11";4757;5929;4449;281;15416;3854;4603
"δενό 12";1302;2710;2155;3857;10024;2506;2432
"δενό 13";4832;4634;2451;2345;14262;3566;3542
"δενό 14";4846;3376;2599;1859;12680;3170;2988
"δενό 15";1445;3228;-595;1439;5517;1379;1442
"δενό 16";5307;2747;3820;1183;13057;3264;3284
"δενό 17";6018;1896;1896;6410;16220;4055;3957
"δενό 18";2155;6410;5399;895;14859;3715;3777
"δενό 19";2550;5374;3931;2173;14028;3507;3240
"δενό 20";3487;1896;3339;-1122;7600;1900;2618
"δενό 21";2340;6484;5078;4037;17939;4485;4558
"δενό 22";6669;3487;3305;-351;13110;3278;3396
"δενό 23";908;6891;2488;2277;12564;3141;2382
"δενό 24";-2623;-4816;1822;1859;-3758;-940;-400
"δενό 25";1571;7150;2303;4449;15473;3868;3376
"δενό 26";2640;6262;4227;624;13753;3438;3434
"δενό 27";1296;2821;4782;5041;13940;3485;3802
"δενό 28";1983;5559;1812;3046;12400;3100;2514
"δενό 29";3454;2525;4967;1956;12902;3226;2990
"δενό 30";1822;3191;2266;1821;9100;2275;2044
"ΘΞΓ";82221;121171;95030;58206;356628;NA;NA
"ΡΠΕΔΝΕΕ";2741;4039;3168;1940;NA;NA;NA
"ΜΕΔΘΐΝΐ";2248;3728;2702;1963;NA;NA;NA
